symbol,_id,company,dividend_startyear,exchange,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
REGN,2021Q1_415744,再生元制药,0,NAS,生物科技,20610,-,生物科技,20610010,405669930000,19.14,21.98,$589.32,医疗保健,206,0.04,45500,21528000,0.3,10000.0,45500,0.3,0.3,1,548.2,446.73,486.85,21.05,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_415744
LMT,2021Q1_415720,洛克希德马丁,2000,NYSE,航空航天和国防,31010,-,航空航天和国防,31010010,679225570000,-2.5,8.02,$378.25,工业,310,0.0,1293,478000,0.01,10000.0,1293,0.01,0.01,1,372.79,321.82,342.99,10.28,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_415720
ICE,2021Q1_415706,洲交所,2013,NYSE,资本市场,10330,-,金融数据和交易所,10330020,429314063000,-1.28,2.91,$117.99,金融服务,103,0.0,2320,259000,0.0,10000.0,2320,0.0,0.0,1,117.86,109.35,113.41,4.04,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_415706
CE,2021Q1_415678,塞拉尼斯,2005,NYSE,化工,10130,-,化学制品,10130010,113574134000,0.75,21.07,$155.96,基础材料,101,0.0,2400,360000,0.0,10000.0,2400,0.0,0.0,1,152.69,119.37,137.29,13.6,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_415678
EMN,2021Q1_415690,伊士曼,1998,NYSE,化工,10130,-,化学制品,10130010,99430516000,-0.94,13.95,$112.89,基础材料,101,0.01,9000,991000,0.01,50.0,3000,0.0,0.0,1,118.02,98.35,108.6,3.95,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 50.00 %,2021Q1_415690
AON,2021Q1_415660,怡安保险,2003,NYSE,保险,10340,-,保险中介,10340050,337390477000,-2.0,9.92,$231.26,金融服务,103,0.02,41500,9550000,0.13,12.16,4500,0.01,0.01,1,233.7,202.13,220.25,5.0,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 12.16 %,2021Q1_415660
EFX,2021Q1_415693,艾可菲,2002,NYSE,商业服务,31020,-,咨询服务,31020020,197267789000,33.31,30.41,$250.70,工业,310,0.1,122100,22116000,0.31,7.11,8100,0.02,0.02,1,189.88,161.88,176.65,41.92,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 7.11 %,2021Q1_415693
IFF,2021Q1_415707,国际香料香精,2001,NYSE,化工,10130,-,特种化学制品,10130020,231752443000,2.03,33.72,$144.00,基础材料,101,0.06,156000,21779000,0.3,6.85,10000,0.02,0.02,1,141.31,105.08,129.42,11.27,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 6.85 %,2021Q1_415707
PGR,2021Q1_415742,美国前进保险公司,2017,NYSE,保险,10340,-,财产保险,10340020,359059919000,-5.33,0.88,$94.95,金融服务,103,0.12,692100,66172000,0.92,2.31,15600,0.02,0.02,1,98.79,85.13,90.79,4.58,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 2.31 %,2021Q1_415742
MMM,2021Q1_415648,3M Co,1959,NYSE,工业制品,31070,-,特种工业机械,31070020,758745298000,3.34,17.6,$202.59,工业,310,0.04,238100,45877000,0.63,1.67,3900,0.01,0.01,1,195.74,165.2,179.02,13.17,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 1.67 %,2021Q1_415648
WSO,2021Q1_415763,华斯科,2013,NYSE,工业分销,31060,-,工业分销,31060010,71727232000,2.92,28.7,$285.89,工业,310,1.04,403500,105212000,1.46,1.13,4500,0.02,0.02,1,260.75,225.54,246.61,15.93,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 1.13 %,2021Q1_415763
AMT,2021Q1_415658,美国电塔,2012,NYSE,房地产信托投资基金,10420,-,REIT - 特种,10420080,826917760000,14.32,26.43,$281.28,房地产,104,0.01,51730,12367000,0.17,1.13,580,0.0,0.0,1,241.83,198.66,222.76,26.27,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 1.13 %,2021Q1_415658
WHR,2021Q1_415765,惠而浦,1996,NYSE,家具制造,10220,-,家具制造,10220010,90272555000,-2.83,24.99,$222.95,周期性消费,102,0.44,274049,60386000,0.84,1.03,2800,0.01,0.01,1,223.09,176.9,198.51,12.31,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 1.03 %,2021Q1_415765
KKR,2021Q1_415711,KKR & Co Inc,2019,NYSE,资产管理,10310,-,资产管理,10310010,221250941000,11.42,45.96,$58.82,金融服务,103,0.24,1399400,68361000,0.95,0.94,13000,0.01,0.01,1,49.35,37.56,44.8,31.29,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 0.94 %,2021Q1_415711
FB,2021Q1_415694,Facebook Inc,0,NAS,交互式媒体,30830,-,互联网和相关服务,30830010,6314883120000,11.9,26.1,$344.46,通信服务,308,0.01,146643,43191000,0.6,0.91,1323,0.01,0.01,1,294.53,245.64,269.28,27.92,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 0.91 %,2021Q1_415694
CMCSA,2021Q1_415682,康卡斯特,2008,NAS,传媒,30820,-,娱乐,30820040,1721369183000,7.5,11.98,$57.95,通信服务,308,0.01,525740,28447000,0.39,0.72,3740,0.0,0.0,1,58.04,48.42,52.83,9.69,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 0.72 %,2021Q1_415682
OTIS,2021Q1_415736,Otis Worldwide Corp,0,NYSE,工业制品,31070,-,特种工业机械,31070020,236481518000,20.43,26.82,$85.23,工业,310,0.03,113860,7794000,0.11,0.71,800,0.0,0.0,1,69.91,62.24,65.35,30.42,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 0.71 %,2021Q1_415736
SPGI,2021Q1_415748,标普全球,1986,NYSE,资本市场,10330,-,金融数据和交易所,10330020,640948231000,9.92,25.65,$411.52,金融服务,103,0.06,148240,52310000,0.72,0.67,980,0.0,0.0,1,361.74,305.95,332.91,23.61,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 0.67 %,2021Q1_415748
TSN,2021Q1_415759,泰森食品,1988,NYSE,农副加工食品,20525,-,农产品,20525020,169270031000,-7.77,12.76,$71.77,非周期性消费,205,0.1,376500,27974000,0.39,0.67,2500,0.0,0.0,1,76.93,63.45,68.98,4.04,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 0.67 %,2021Q1_415759
SHW,2021Q1_415752,宣伟公司,1979,NYSE,化工,10130,-,特种化学制品,10130020,479946198000,8.76,14.39,$279.12,基础材料,101,0.04,93792,23073000,0.32,0.64,600,0.0,0.0,3,253.01,219.85,238.3,17.13,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 0.64 %,2021Q1_415752
BK,2021Q1_415665,纽约梅隆,2010,NYSE,资产管理,10310,-,资产管理,10310010,275353536000,2.04,16.16,$48.68,金融服务,103,0.04,357750,16918000,0.23,0.28,1000,0.0,0.0,1,47.86,39.82,43.95,10.76,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 0.28 %,2021Q1_415665
SEIC,2021Q1_415750,SEI Investments Co,1990,NAS,资产管理,10310,-,资产管理,10310010,56975521000,-1.07,8.09,$61.75,金融服务,103,0.3,427200,26029000,0.36,0.23,1000,0.0,0.0,1,61.81,52.85,58.58,5.41,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 0.23 %,2021Q1_415750
MSFT,2021Q1_415727,微软,2003,NAS,软件,31110,-,软件基础构架,31110030,13684649195000,8.51,26.85,$281.03,科技,311,0.01,479300,113004000,1.56,0.12,580,0.0,0.0,1,244.99,212.25,232.23,21.01,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 0.12 %,2021Q1_415727
NVR,2021Q1_415734,NVR Inc,0,NYSE,住宅建设,10230,-,住宅建设,10230010,113447106000,-0.41,18.25,$4824.31,周期性消费,102,0.26,9531,44900000,0.62,0.11,10,0.0,0.0,1,4776.41,3930.0,4491.1,7.42,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 0.11 %,2021Q1_415734
V,2021Q1_415762,维萨卡,2008,NYSE,信贷,10360,-,信贷服务,10360010,3533478032000,9.98,13.93,$248.55,金融服务,103,0.04,957680,202770000,2.81,0.1,940,0.0,0.0,1,226.15,193.25,210.49,18.08,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 0.10 %,2021Q1_415762
UNP,2021Q1_415760,联合太平洋,1998,NYSE,交通运输,31080,-,铁路运输,31080030,943981656000,-0.94,6.61,$219.94,工业,310,0.01,85778,18907000,0.26,0.09,80,0.0,0.0,1,222.98,194.33,210.02,4.72,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 0.09 %,2021Q1_415760
MCO,2021Q1_415729,穆迪,2001,NYSE,资本市场,10330,-,金融数据和交易所,10330020,453253244000,17.85,29.54,$374.75,金融服务,103,0.11,211240,63078000,0.87,0.07,140,0.0,0.0,1,306.97,263.04,281.57,33.09,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 0.07 %,2021Q1_415729
GS,2021Q1_415697,高盛,2010,NYSE,资本市场,10330,-,资本市场,10330010,820150326000,10.65,42.52,$373.35,金融服务,103,0.1,343660,112377000,1.56,0.05,160,0.0,0.0,1,348.81,265.0,311.25,19.95,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 0.05 %,2021Q1_415697
